,links
2715,jude
2716,lazarus
2717,legion
2718,luke
2719,lysanias
2720,malchus
2721,martha
2722,"mary, mother of jesus"
2723,mary magdalene
2724,"mary, mother of james"
2725,"mary, sister of martha"
2726,mary of clopas
2727,naked fugitive
2728,son of nain's widow
2729,nicodemus
2730,nicodemus ben gurion
2731,salome
2732,samaritan woman
2733,satan
2734,simeon
2735,"simon, brother of jesus"
2736,simon of cyrene
2737,simon the leper
2738,simon the pharisee
2739,susanna
2740,syrophoenician woman
2741,theophilus
2742,zacchaeus
2743,zebedee
2744,zechariah
2745,people named james
2746,people named john
2747,people named joseph
2748,joses
2749,people named judas or jude
2750,people named mary
2751,people named simon or simeon
2752,angels
2753,jesus's brothers
2754,demons
2755,disciples
2756,evangelists
2757,female disciples of jesus
2758,god-fearers
2759,herodians
2760,magi
2761,myrrhbearers
2762,nameless
2763,pharisees
2764,prophets
2765,proselytes
2766,sadducees
2767,samaritans
2768,sanhedrin
2769,scribes
2770,seventy disciples
2771,shepherds
2772,women at the crucifixion
2773,zealots
2774,apostles
2775,andrew
2776,bartholomew
2777,nathanael
2778,"james, son of alphaeus"
2779,less
2780,"james, son of zebedee"
2781,john
2782,evangelist
2783,patmos
2784,disciple whom jesus loved
2785,judas iscariot
2786,judas thaddaeus
2787,matthew
2788,philip
2789,simon peter
2790,simon the zealot
2791,thomas
2792,acts
2793,aeneas
2794,agabus
2795,ananias (damascus)
2796,ananias (judaea)
2797,ananias son of nedebeus
2798,apollos
2799,aquila
2800,aristarchus
2801,barnabas
2802,blastus
2803,cornelius
2804,damaris
2805,demetrius
2806,dionysius
2807,dorcas
2808,elymas
2809,egyptian
2810,ethiopian eunuch
2811,eutychus
2812,gamaliel
2813,"james, brother of jesus"
2814,jason
2815,joseph barsabbas
2816,judas barsabbas
2817,judas of galilee
2818,lucius
2819,luke
2820,lydia
2821,manaen
2822,(john) mark
2823,evangelist
2824,cousin of barnabas
2825,"mary, mother of (john) mark"
2826,matthias
2827,mnason
2828,nicanor
2829,nicholas
2830,parmenas
2831,paul
2832,philip
2833,priscilla
2834,prochorus
2835,publius
2836,rhoda
2837,sapphira
2838,sceva
2839,seven deacons
2840,silas
2841,silvanus
2842,simeon niger
2843,simon magus
2844,sopater
2845,sosthenes
2846,stephen
2847,theudas
2848,timothy
2849,titus
2850,trophimus
2851,tychicus
2852,zenas
2853,romans
2854,herod's family
2855,antipas
2856,archelaus
2857,herod the great
2858,herodias
2859,longinus
2860,philip
2861,pilate
2862,pilate's wife
2863,quirinius
2864,salome
2865,tiberius
2866,agrippa
2867,agrippa ii
2868,berenice
2869,cornelius
2870,drusilla
2871,felix
2872,festus
2873,gallio
2874,lysias
2875,paullus
2876,epistles
2877,achaicus
2878,alexander of ephesus
2879,alexander the coppersmith
2880,andronicus
2881,archippus
2882,aretas iv
2883,artemas
2884,carpus
2885,claudia
2886,crescens
2887,demas
2888,diotrephes
2889,epaphras
2890,epaphroditus
2891,erastus
2892,eunice
2893,euodia and syntyche
2894,herodion
2895,hymenaeus
2896,jesus justus
2897,junia
2898,linus
2899,lois
2900,mary
2901,michael
2902,nymphas
2903,olympas
2904,onesimus
2905,onesiphorus
2906,pudens
2907,philemon
2908,philetus
2909,phoebe
2910,quartus
2911,sosipater
2912,tertius
2913,tryphena and tryphosa
2914,revelation
2915,antipas
2916,four horsemen
2917,apollyon
2918,two witnesses
2919,woman
2920,beast
2921,three angels
2922,whore of babylon
2923,v
2924,t
2925,e
2926,sermon on the mount
2927,sermon on the plain
2928,matthew
2929,"5, "
2930,"6, "
2931,and 7
2932,beatitudes
2933,salt and light
2934,city upon a hill
2935,lamp under a bushel
2936,light of the world
2937,turning the other cheek
2938,love your enemies
2939,lord's prayer
2940,the birds of the air
2941,sufficient unto the day is the evil thereof
2942,the mote and the beam
2943,golden rule
2944,the tree and its fruits
2945,false prophet
2946,wolf in sheep's clothing
2947,the wise and foolish builders
2948,ministry of jesus
2949,parables
2950,five discourses of matthew
2951,life of jesus in the new testament
2952,mount of beatitudes
2953,our lord's sermon on the mount
2954,the kingdom of god is within you
2955,v
2956,t
2957,e
2958,parables of jesus
2959,barren fig tree
2960,budding fig tree
2961,counting the cost
2962,drawing in the net
2963,faithful servant
2964,friend at night
2965,good samaritan
2966,good shepherd
2967,grain of wheat
2968,great banquet
2969,growing seed
2970,hidden treasure
2971,lamp
2972,leaven
2973,lost coin
2974,lost sheep
2975,master and servant
2976,mote and the beam
2977,mustard seed
2978,new wine into old wineskins
2979,pearl
2980,pharisee and the publican
2981,prodigal son
2982,rich fool
2983,rich man and lazarus
2984,scribe
2985,sheep and goats
2986,sower
2987,strong man
2988,talents or minas
2989,tares
2990,ten virgins
2991,true vine
2992,tree and its fruits
2993,two debtors
2994,two sons
2995,unjust judge
2996,unjust steward
2997,unforgiving servant
2998,wedding feast
2999,wicked husbandmen
3000,wise and foolish builders
3001,workers in the vineyard
3002,assassin
3003,empty jar
3004,ministry
3005,parable
3006,v
3007,t
3008,e
3009,miracles of jesus
3010,water into wine
3011,catch of fish
3012,coin in the fish's mouth
3013,feeding the multitude
3014,fig tree cursed
3015,calming the storm
3016,walking on water
3017,
3018,bleeding woman
3019,blind man of bethsaida
3020,blind near jericho
3021,blind men in galilee
3022,centurion's servant
3023,cleansing a leper
3024,cleansing ten lepers
3025,deaf mute of decapolis
3026,dropsy
3027,gennesaret healings
3028,hunched woman
3029,man blind from birth
3030,mother of peter's wife
3031,paralytic at bethesda
3032,paralytic at capernaum
3033,royal official's son
3034,servant's ear
3035,withered hand
3036,capernaum synagogue
3037,at sunset
3038,gerasene demoniac (legion)
3039,mute man
3040,blind mute
3041,syrophoenician's daughter
3042,boy
3043,son of the widow of nain
3044,daughter of jairus
3045,lazarus
3046,transfiguration
3047,resurrection of jesus
3048,ascension
3049,ministry
3050,miracle
3051,christianity portal
3052,v
3053,t
3054,e
3055,christianity
3056,index
3057,outline
3058,glossary
3059,prophets
3060,people
3061,lists of christians
3062,by country
3063,bible
3064,(scriptures)
3065,canon
3066,old testament
3067,new testament
3068,church
3069,creed
3070,gospel
3071,new covenant
3072,christian tradition
3073,worship
3074,history
3075,timeline
3076,spread
3077,earlychristianity
3078,in christianity
3079,nativity
3080,baptism
3081,ministry
3082,sermon on the mount
3083,parables
3084,miracles
3085,great commandment
3086,crucifixion
3087,resurrection
3088,great commission
3089,apostles
3090,church fathers
3091,apostolic fathers
3092,great church
3093,ante-nicene period
3094,late antiquity
3095,constantine
3096,first seven ecumenical councils
3097,nicaea i
3098,chalcedon
3099,state church of the roman empire
3100,christian biblical canon
3101,middle ages
3102,monasticism
3103,papal states
3104,east–west schism
3105,investiture controversy
3106,crusades
3107,age of discovery
3108,modern era
3109,protestant reformation
3110,catholic reformation
3111,thirty years' war
3112,enlightenment
3113,french revolution
3114,relations with islam
3115,influences
3116,denominations
3117,list
3118,members
3119,western
3120,catholic
3121,protestant
3122,adventist
3123,anabaptist
3124,anglican
3125,baptist
3126,calvinist
3127,charismatic
3128,evangelical
3129,holiness
3130,lutheran
3131,methodist
3132,pentecostal
3133,quakers
3134,western rite orthodoxy
3135,eastern
3136,eastern orthodox
3137,church
3138,oriental orthodox (miaphysite)
3139,church of the east (nestorian)
3140,eastern catholic
3141,restorationist
3142,jehovah's witnesses
3143,latter day saint movement
3144,iglesia ni cristo
3145,theology
3146,god
3147,trinity
3148,father
3149,son
3150,holy spirit
3151,christology
3152,nicene creed
3153,tradition
3154,original sin
3155,salvation
3156,born again
3157,liturgy
3158,catholic
3159,eastern catholic
3160,eastern orthodox
3161,protestant
3162,worship
3163,mariology
3164,theotokos
3165,saints
3166,angel
3167,ecclesiology
3168,four marks
3169,body of christ
3170,one true church
3171,people of god
3172,canon law
3173,sacraments
3174,baptism
3175,eucharist
3176,marriage
3177,confirmation
3178,penance
3179,anointing of the sick
3180,holy orders
3181,mission
3182,ablution
3183,hygiene
3184,philosophy
3185,natural law
3186,ethics
3187,science
3188,evolution
3189,politics
3190,views on poverty and wealth
3191,culture
3192,architecture
3193,architecture of cathedrals and great churches
3194,art
3195,jesus
3196,mary
3197,trinity
3198,god the father
3199,holy spirit
3200,education
3201,catechism
3202,flag
3203,literature
3204,music
3205,mythology
3206,pilgrimage
3207,popular piety
3208,church buildings
3209,cathedrals
3210,role in civilization
3211,movements
3212,crusading movement
3213,anarchism
3214,charismatic
3215,democracy
3216,environmentalism
3217,existentialism
3218,fundamentalism
3219,liberation
3220,left
3221,right
3222,mysticism
3223,pacifism
3224,prosperity
3225,christendom
3226,ecumenism
3227,charta oecumenica
3228,world council of churches
3229,world evangelical alliance
3230,nondenominationalism
3231,cultural christians
3232,anti-christian sentiment
3233,criticism
3234,persecution
3235,relations with other religions
3236,
3237,christianity portal
3238,category
3239,v
3240,t
3241,e
3242,gospel of matthew
3243,bible
3244,new testament
3245,chapters
3246,matthew 1
3247,2
3248,3
3249,4
3250,5
3251,6
3252,7
3253,8
3254,9
3255,10
3256,11
3257,12
3258,13
3259,14
3260,15
3261,16
3262,17
3263,18
3264,19
3265,20
3266,21
3267,22
3268,23
3269,24
3270,25
3271,26
3272,27
3273,28
3274,verses
3275,matthew 1
3276,2
3277,3
3278,4
3279,5
3280,6
3281,7
3282,8
3283,9
3284,10
3285,11
3286,12
3287,13:1–3
3288,14
3289,15
3290,16:2b–3
3291,19
3292,27:1–12; 52–66
3293,28
3294,jesus' birth
3295,star of bethlehem
3296,magi
3297,flight into egypt
3298,massacre of the innocents
3299,return to nazareth
3300,kingdom of heaven
3301,baptism
3302,temptation
3303,galilean ministry
3304,fishers of men
3305,behold the bridegroom
3306,sermon on the mount
3307,beatitudes
3308,lord's prayer
3309,golden rule
3310,jesus preaches in a ship
3311,calming the storm
3312,feeding the multitude
3313,walking on water
3314,transfiguration
3315,great commandment
3316,olivet discourse
3317,ten virgins
3318,anointing
3319,passion of jesus
3320,last supper
3321,crucifixion of jesus
3322,burial
3323,empty tomb
3324,resurrection
3325,great commission
3326,andrew
3327,caiaphas
3328,herod
3329,james
3330,jeremiah
3331,john
3332,john the baptist
3333,joseph
3334,judas iscariot
3335,mary
3336,mary magdalene
3337,"mary, sister of martha"
3338,matthew
3339,philip
3340,pontius pilate
3341,rachel
3342,simon peter
3343,thomas
3344,zebedee
3345,angels
3346,pharisees
3347,sadducees
3348,sanhedrin
3349,bethany
3350,bethlehem
3351,bethsaida
3352,capernaum
3353,egypt
3354,galilee
3355,jerusalem
3356,jordan river
3357,judea
3358,samaria
3359,sea of galilee
3360,q source
3361,m source
3362,gospel of mark
3363,textual variants
3364,augustinian hypothesis
3365,two-gospel hypothesis
3366,genealogy of jesus
3367,five discourses of matthew
3368,calling of matthew
3369,the gospel according to st. matthew
3370,godspell
3371,godspell
3372,the visual bible: matthew
3373,book of malachi
3374,chapter 4
3375,bible portal
3376,
3377,christianity portal
3378,gospel of mark
3379,chapter 1
3380,v
3381,t
3382,e
3383,gospel of mark
3384,bible
3385,chapters
3386,new testament
3387,mark 1
3388,2
3389,3
3390,4
3391,5
3392,6
3393,7
3394,8
3395,9
3396,10
3397,11
3398,12
3399,13
3400,14
3401,15
3402,16
3403,jesus's baptism
3404,temptation
3405,galilean ministry
3406,calming the storm
3407,feeding the 5000
3408,walking on water
3409,transfiguration
3410,great commandment
3411,olivet discourse
3412,anointing
3413,passion of jesus
3414,last supper
3415,pilate's court
3416,crucifixion
3417,entombment/burial
3418,empty tomb
3419,resurrection
3420,naked fugitive
3421,sayings of jesus on the cross
3422,andrew
3423,caiaphas
3424,herod antipas
3425,john the baptist
3426,joseph of arimathea
3427,judas iscariot
3428,"mary, mother of james"
3429,"mary, mother of jesus"
3430,mary magdalene
3431,"mary, sister of martha"
3432,philip
3433,pontius pilate
3434,rufus
3435,salome
3436,simon of cyrene
3437,simon peter
3438,thomas
3439,zebedee
3440,pharisees
3441,sadducees
3442,samaritans
3443,sanhedrin
3444,bethany
3445,bethsaida
3446,capernaum
3447,dalmanutha
3448,galilee
3449,jerusalem
3450,jordan river
3451,judea
3452,nazareth
3453,samaria
3454,sea of galilee
3455,mark the evangelist
3456,john mark
3457,textual variants
3458,marcan priority
3459,two-source hypothesis
3460,three-source hypothesis
3461,messianic secret
3462,gospel of matthew
3463,chapter 28
3464,bible portal
3465,
3466,christianity portal
3467,gospel of luke
3468,chapter 1
3469,v
3470,t
3471,e
3472,gospel of luke
3473,bible
3474,new testament
3475,chapters
3476,luke 1
3477,2
3478,3
3479,4
3480,5
3481,6
3482,7
3483,8
3484,9
3485,10
3486,11
3487,12
3488,13
3489,14
3490,15
3491,16
3492,17
3493,18
3494,19
3495,20
3496,21
3497,22
3498,23
3499,24
3500,verses
3501,luke 22:43–44
3502,annunciation to mary
3503,elizabeth
3504,and the shepherds
3505,adoration of shepherds
3506,john the baptist's birth
3507,census of quirinius
3508,jesus' birth
3509,circumcision
3510,presentation at the temple
3511,finding in the temple
3512,genealogy
3513,baptism
3514,temptation
3515,calling of matthew
3516,counting the cost
3517,sermon on the plain
3518,beatitudes
3519,calming the storm
3520,feeding the 5000
3521,transfiguration
3522,great commandment
3523,lord's prayer
3524,prodigal son
3525,olivet discourse
3526,passion of jesus
3527,last supper
3528,pilate's court
3529,crucifixion
3530,burial
3531,empty tomb
3532,resurrection
3533,ascension
3534,benedictus
3535,fishers of men
3536,magnificat
3537,new wine into old wineskins
3538,nunc dimittis (song of simeon)
3539,parable of the unjust steward
3540,rich man and lazarus
3541,the four woes of jesus
3542,abijah
3543,andrew
3544,anna
3545,annas
3546,augustus
3547,caiaphas
3548,david
3549,elisha
3550,elizabeth
3551,gabriel
3552,herod antipas
3553,herod the great
3554,john the baptist
3555,joseph
3556,joseph of arimathea
3557,judas iscariot
3558,lazarus
3559,lysanias
3560,martha
3561,"mary, mother of jesus"
3562,mary magdalene
3563,"mary, sister of martha"
3564,naaman
3565,philip (apostle)
3566,philip (tetrarch)
3567,pontius pilate
3568,quirinius
3569,simeon
3570,simon peter
3571,theophilus
3572,thomas
3573,tiberius caesar
3574,zebedee
3575,zechariah
3576,angels
3577,pharisees
3578,sadducees
3579,samaritans
3580,sanhedrin
3581,seventy disciples
3582,abilene
3583,bethany
3584,bethsaida
3585,capernaum
3586,decapolis
3587,emmaus
3588,galilee
3589,iturea
3590,jerusalem
3591,jordan river
3592,judea
3593,nain
3594,samaria
3595,sea of galilee
3596,trachonitis
3597,luke the evangelist
3598,authorship of luke–acts
3599,gospel of mark
3600,q source
3601,l source
3602,textual variants
3603,jesus
3604,gospel of mark
3605,chapter 16
3606,bible portal
3607,
3608,christianity portal
3609,gospel of john
3610,chapter 1
3611,v
3612,t
3613,e
3614,gospel of john
3615,bible
3616,new testament
3617,chapters
3618,john 1
3619,book of signs
3620,2
3621,3
3622,4
3623,5
3624,6
3625,7
3626,8
3627,9
3628,10
3629,11
3630,12
3631,book of glory
3632,13
3633,14
3634,15
3635,16
3636,17
3637,18
3638,19
3639,20
3640,epilogue: 21
3641,verses
3642,john 1:1
3643,20
3644,23
3645,25
3646,33
3647,35
3648,42
3649,3:16
3650,14:6
3651,18:38
3652,20:1–31
3653,wedding at cana
3654,bread of life discourse
3655,feeding the 5000
3656,healing a blind man
3657,healing a paralytic
3658,healing a sick son
3659,jesus and the woman taken in adultery
3660,walking on water
3661,raising of lazarus
3662,anointing
3663,foot washing
3664,passion of jesus
3665,last supper
3666,farewell discourse
3667,crucifixion
3668,burial
3669,empty tomb
3670,resurrection of jesus
3671,restoration of peter
3672,in the beginning
3673,logos
3674,disciple whom jesus loved
3675,doubting thomas
3676,ecce homo
3677,feast of dedication
3678,"""love one another"""
3679,jesus wept
3680,noli me tangere
3681,"quod scripsi, scripsi"
3682,that they all may be one
3683,via et veritas et vita
3684,the truth will set you free
3685,andrew
3686,annas
3687,caiaphas
3688,herod antipas
3689,john the baptist
3690,joseph of arimathea
3691,judas iscariot
3692,mother of jesus
3693,lazarus
3694,malchus
3695,martha
3696,mary magdalene
3697,"mary, sister of martha"
3698,nathanael
3699,nicodemus
3700,philip
3701,pontius pilate
3702,simon peter
3703,thomas
3704,zebedee
3705,angels
3706,pharisees
3707,sadducees
3708,samaritans
3709,sanhedrin
3710,ænon
3711,bethabara
3712,bethany
3713,bethsaida
3714,cana
3715,capernaum
3716,galilee
3717,jacob's well
3718,jerusalem
3719,jordan river
3720,judea
3721,kidron
3722,samaria
3723,sea of galilee
3724,solomon's porch
3725,sychar
3726,i am
3727,i am (biblical term)
3728,bread of life
3729,light of the world
3730,gate for the sheep
3731,good shepherd
3732,resurrectio et vita
3733,via et veritas et vita
3734,true vine
3735,authorship
3736,johannine community
3737,john the apostle
3738,john the evangelist
3739,johannine literature
3740,holy spirit
3741,textual variants
3742,the gospel of john
3743,the gospel of john
3744,gospel of luke
3745,chapter 24
3746,bible portal
3747,
3748,christianity portal
3749,acts of the apostles
3750,chapter 1
3751,v
3752,t
3753,e
3754,acts of the apostles
3755,bible
3756,chapters
3757,new testament
3758,acts 1
3759,2
3760,3
3761,4
3762,5
3763,6
3764,7
3765,8
3766,9
3767,10
3768,11
3769,12
3770,13
3771,14
3772,15
3773,16
3774,17
3775,18
3776,19
3777,20
3778,21
3779,22
3780,23
3781,24
3782,25
3783,26
3784,27
3785,28
3786,ascension
3787,pentecost
3788,conversion of paul
3789,peter's vision
3790,peter's liberation
3791,council of jerusalem
3792,areopagus sermon
3793,book burning at ephesus
3794,aeneas
3795,agabus
3796,agrippa
3797,agrippa ii
3798,ananias (damascus)
3799,ananias (high priest)
3800,ananias (judea)
3801,apollos
3802,aquila
3803,aristarchus
3804,bar-jesus
3805,barnabas
3806,berenice
3807,blastus
3808,cornelius
3809,demetrius
3810,dionysius
3811,dorcas
3812,drusilla
3813,ethiopian eunuch
3814,eutychus
3815,felix
3816,festus
3817,gallio
3818,gamaliel
3819,james the just
3820,jason
3821,joseph barsabbas
3822,judas barsabbas
3823,judas of galilee
3824,lucius
3825,luke
3826,lydia
3827,lysias
3828,manaen
3829,(john) mark
3830,cousin of barnabas
3831,mary mother of john mark
3832,matthias
3833,nicanor
3834,nicholas
3835,parmenas
3836,paul
3837,paullus
3838,peter
3839,philip
3840,priscilla
3841,prochorus
3842,publius
3843,rhoda
3844,sapphira
3845,sceva
3846,seven deacons
3847,silas
3848,simeon niger
3849,simon the sorcerer
3850,sopater
3851,stephen
3852,theophilus
3853,theudas
3854,timothy
3855,titus
3856,trophimus
3857,tychicus
3858,achaea
3859,alexandria
3860,amphipolis
3861,antioch of pisidia
3862,antioch of syria
3863,antipatris
3864,asia
3865,assos
3866,atalia
3867,athens
3868,berea
3869,bithynia
3870,caesarea
3871,cenchrea
3872,chios
3873,cilicia
3874,corinth
3875,cos
3876,creta
3877,cyprus
3878,derbe
3879,ephesus
3880,forum appii
3881,galatia
3882,iconium
3883,italy
3884,jerusalem
3885,lycaonia
3886,lystra
3887,macedonia
3888,malta
3889,mytilene
3890,miletus
3891,mysia
3892,neapolis
3893,paphos
3894,pamphilia
3895,patara
3896,perga
3897,philippi
3898,phrygia
3899,pisidia
3900,pontus
3901,ptolemais
3902,puteoli
3903,regium
3904,rodos
3905,rome
3906,salamis
3907,samos
3908,samothrace
3909,seleucia
3910,syracuse
3911,syria
3912,thessalonica
3913,thyatira
3914,tyre
3915,three taverns
3916,troas
3917,christians
3918,synagogue of the libertines
3919,apostolic age
3920,luke–acts
3921,authorship
3922,luke the evangelist
3923,historical reliability
3924,holy spirit
3925,in christianity
3926,textual variants
3927,gamaliel's principle
3928,the visual bible: acts
3929,gospel of john
3930,chapter 21
3931,bible portal
3932,
3933,christianity portal
3934,epistle to the romans
3935,chapter 1
3936,v
3937,t
3938,e
3939,titles
3940,alpha and omega
3941,bread of life
3942,christ (messiah)
3943,king of the jews
3944,lamb of god
3945,last/second adam
3946,light of the world
3947,logos (the word)
3948,lord (kyrios)
3949,almighty
3950,son of god
3951,son of man
3952,v
3953,t
3954,e
3955,life of jesus in art
3956,annunciation
3957,nativity
3958,adoration of the magi
3959,taking leave of his mother
3960,transfiguration
3961,last supper
3962,flagellation 
3963,ecce homo
3964,stabat mater
3965,descent from the cross
3966,lamentation
3967,pietà
3968,resurrection
3969,road to emmaus
3970,ascension
3971,
3972,depiction of jesus
3973,list of statues of jesus
3974,visual arts
3975,christianity
3976,portals
3977,
3978,christianity
3979,islam
3980,
3981,religion
3982,bible
3983,biography
3984,sister projects
3985,authority control databases
3986,categories
3987,0s bc births
3988,30s deaths
3989,1st-century apocalypticists
3990,1st-century bce jews
3991,1st-century executions
3992,1st-century jews
3993,1st-century rabbis
3994,angelic visionaries
3995,carpenters
3996,creator gods
3997,deified men
3998,exorcists
3999,faith healers
4000,founders of religions
4001,god in christianity
4002,jesus
4003,jewish messiah claimants
4004,judean people
4005,life-death-rebirth gods
4006,names of god
4007,people considered avatars by their followers
4008,people executed by crucifixion
4009,people executed by the roman empire
4010,people from bethlehem
4011,people from nazareth
4012,prophets of the new testament
4013,prophets in the druze faith
4014,publicly executed people
4015,rabbis of the land of israel
4016,savior gods
4017,ascetics
4018,homeless people
4019,torture victims
4020,miracle workers
4021,nonviolence advocates
4022,articles containing ancient greek (to 1453)-language text
4023,articles containing hebrew-language text
4024,webarchive template wayback links
4025,articles incorporating a citation from the 1913 catholic encyclopedia with wikisource reference
4026,pages with numeric bible version references
4027,articles with short description
4028,short description is different from wikidata
4029,featured articles
4030,wikipedia indefinitely move-protected pages
4031,wikipedia indefinitely semi-protected pages
4032,use oxford spelling from december 2023
4033,use dmy dates from december 2023
4034,articles with hcards
4035,pages using sidebar with the child parameter
4036,no local image but image on wikidata
4037,articles with haudio microformats
4038,spoken articles
4039,articles containing tagalog-language text
4040,pages using sister project links with hidden wikidata
4041,articles with fast identifiers
4042,articles with isni identifiers
4043,articles with viaf identifiers
4044,articles with bibsys identifiers
4045,articles with bnc identifiers
4046,articles with bne identifiers
4047,articles with bnf identifiers
4048,articles with bnfdata identifiers
4049,articles with bnmm identifiers
4050,articles with canticn identifiers
4051,articles with gnd identifiers
4052,articles with j9u identifiers
4053,articles with lccn identifiers
4054,articles with libris identifiers
4055,articles with lnb identifiers
4056,articles with ncl identifiers
4057,articles with ndl identifiers
4058,articles with nkc identifiers
4059,articles with nla identifiers
4060,articles with nlg identifiers
4061,articles with nsk identifiers
4062,articles with nta identifiers
4063,articles with plwabn identifiers
4064,articles with rsl identifiers
4065,articles with cinii identifiers
4066,articles with kulturnav identifiers
4067,articles with musicbrainz identifiers
4068,articles with tepapa identifiers
4069,articles with ulan identifiers
4070,articles with dtbio identifiers
4071,articles with trove identifiers
4072,articles with lir identifiers
4073,articles with nara identifiers
4074,articles with rism identifiers
4075,articles with snac-id identifiers
4076,articles with sudoc identifiers
4077,articles with tdvi̇a identifiers
4078,year of birth uncertain
4079,year of death uncertain
4080,about wikipedia
4081,disclaimers
